Hour,Minute,Second,Microsecond,IR1,
11,10,7,393688,28447,7.39
11,10,7,410981,28451,7.41
11,10,7,412285,28454,7.41
11,10,7,420187,28456,7.42
11,10,7,432284,28453,7.43
11,10,7,440288,28460,7.44
11,10,7,453323,28667,7.45
11,10,7,461365,29495,7.46
11,10,7,473378,30585,7.47
11,10,7,485200,30705,7.49
11,10,7,494375,30570,7.49
11,10,7,506385,30198,7.51
11,10,7,514287,29729,7.51
11,10,7,526385,29380,7.53
11,10,7,535375,29135,7.54
11,10,7,547562,29011,7.55
11,10,7,559629,28913,7.56
11,10,7,567168,28818,7.57
11,10,7,580266,28726,7.58
11,10,7,588392,28681,7.59
11,10,7,600411,28645,7.60
11,10,7,612110,28632,7.61
11,10,7,621269,28602,7.62
11,10,7,633205,28583,7.63
11,10,7,641152,28558,7.64
11,10,7,653288,28552,7.65
11,10,7,662281,28540,7.66
11,10,7,674278,28524,7.67
11,10,7,686181,28512,7.69
11,10,7,694377,28501,7.69
11,10,7,707148,28503,7.71
11,10,7,715482,28493,7.72
11,10,7,727390,28493,7.73
11,10,7,735376,28481,7.74
11,10,7,748389,28472,7.75
11,10,7,760076,28479,7.76
11,10,7,768393,28474,7.77
11,10,7,780180,28480,7.78
11,10,7,789343,28475,7.79
11,10,7,801388,28465,7.80
11,10,7,809237,28454,7.81
11,10,7,821384,28442,7.82
11,10,7,834175,28444,7.83
11,10,7,842357,28447,7.84
11,10,7,854286,28443,7.85
11,10,7,862351,28441,7.86
11,10,7,875286,28438,7.88
11,10,7,883163,28418,7.88
11,10,7,895331,28444,7.90
11,10,7,907184,28438,7.91
11,10,7,916361,28448,7.92
11,10,7,928114,28432,7.93
11,10,7,936345,28448,7.94
11,10,7,948343,28434,7.95
11,10,7,956324,28425,7.96
11,10,7,969396,28433,7.97
11,10,7,981106,28434,7.98
11,10,7,989383,28424,7.99
11,10,8,2329,28422,8.00
11,10,8,10383,28429,8.01
11,10,8,22382,28428,8.02
11,10,8,30253,28433,8.03
11,10,8,43399,28417,8.04
11,10,8,55190,28426,8.06
11,10,8,63202,28423,8.06
11,10,8,75197,28424,8.08
11,10,8,83385,28430,8.08
11,10,8,96192,28417,8.10
11,10,8,104229,28423,8.10
11,10,8,116365,28428,8.12
11,10,8,128119,28412,8.13
11,10,8,137388,28431,8.14
11,10,8,149210,28430,8.15
11,10,8,157378,28432,8.16
11,10,8,169409,28421,8.17
11,10,8,178616,28426,8.18
11,10,8,190390,28429,8.19
11,10,8,202102,28419,8.20
11,10,8,210228,28435,8.21
11,10,8,223281,28431,8.22
11,10,8,231228,28419,8.23
11,10,8,243418,28427,8.24
11,10,8,251201,28424,8.25
11,10,8,264292,28445,8.26
11,10,8,276089,28416,8.28
11,10,8,284363,28419,8.28
11,10,8,296258,28414,8.30
11,10,8,305357,28411,8.31
11,10,8,317257,28414,8.32
11,10,8,325356,28402,8.33
11,10,8,337366,28402,8.34
11,10,8,350178,28398,8.35
11,10,8,358358,28410,8.36
11,10,8,370265,28422,8.37
11,10,8,378284,28402,8.38
11,10,8,391355,28410,8.39
11,10,8,399357,28393,8.40
11,10,8,411227,28392,8.41
11,10,8,423087,28396,8.42
11,10,8,432300,28391,8.43
11,10,8,444299,28387,8.44
11,10,8,452295,28390,8.45
11,10,8,464314,28392,8.46
11,10,8,473383,28388,8.47
11,10,8,485253,28392,8.49
11,10,8,497098,28389,8.50
11,10,8,505269,28400,8.51
11,10,8,518267,28376,8.52
11,10,8,526365,28387,8.53
11,10,8,538275,28388,8.54
11,10,8,546253,28383,8.55
11,10,8,559164,28381,8.56
11,10,8,572547,28388,8.57
11,10,8,579366,28386,8.58
11,10,8,591146,28377,8.59
11,10,8,600164,28386,8.60
11,10,8,612161,28379,8.61
11,10,8,620243,28383,8.62
11,10,8,632359,28366,8.63
11,10,8,645221,28375,8.65
