Hour,Minute,Second,Microsecond,IR1,,
11,7,13,291981,35034.0,13.3,616.8080
11,7,13,303926,35033.0,13.3,-83.7170
11,7,13,311993,35022.0,13.3,-1363.5800
11,7,13,324934,35033.0,13.3,850.0116
11,7,13,333252,35035.0,13.3,240.4424
11,7,13,345177,35025.0,13.3,-838.5744
11,7,13,353004,35028.0,13.4,383.2886
11,7,13,365175,35034.0,13.4,492.9751
11,7,13,378021,35038.0,13.4,311.3810
11,7,13,386024,35033.0,13.4,-624.7657
11,7,13,397952,35037.0,13.4,335.3454
11,7,13,406055,35042.0,13.4,617.0554
11,7,13,419079,35041.0,13.4,-76.7813
11,7,13,427021,35044.0,13.4,377.7386
11,7,13,439186,35050.0,13.4,493.2182
11,7,13,450926,35048.0,13.5,-170.3578
11,7,13,460176,35049.0,13.5,108.1081
11,7,13,472102,35049.0,13.5,0.0000
11,7,13,480034,35049.0,13.5,0.0000
11,7,13,492171,35048.0,13.5,-82.3927
11,7,13,500916,35050.0,13.5,228.7021
11,7,13,513169,35052.0,13.5,163.2253
11,7,13,525081,35046.0,13.5,-503.6938
11,7,13,532974,35044.0,13.5,-253.3891
11,7,13,546146,35044.0,13.5,0.0000
11,7,13,553964,35042.0,13.6,-255.8199
11,7,13,566160,35043.0,13.6,81.9941
11,7,13,574169,35049.0,13.6,749.1572
11,7,13,587275,35050.0,13.6,76.3009
11,7,13,599029,35046.0,13.6,-340.3097
11,7,13,606978,35047.0,13.6,125.8020
11,7,13,618990,35050.0,13.6,249.7502
11,7,13,628058,35051.0,13.6,110.2779
11,7,13,640154,35057.0,13.6,496.0317
11,7,13,648152,35070.0,13.6,1625.4064
11,7,13,660187,35073.0,13.7,249.2730
11,7,13,672998,35077.0,13.7,312.2317
11,7,13,681035,35087.0,13.7,1244.2454
11,7,13,692949,35082.0,13.7,-419.6743
11,7,13,700943,35079.0,13.7,-375.2815
11,7,13,714057,35081.0,13.7,152.5088
11,7,13,722152,35083.0,13.7,247.0661
11,7,13,734030,35090.0,13.7,589.3248
11,7,13,745928,35091.0,13.7,84.0477
11,7,13,755052,35090.0,13.8,-109.6011
11,7,13,767039,35094.0,13.8,333.6948
11,7,13,774952,35097.0,13.8,379.1230
11,7,13,787060,35090.0,13.8,-578.1302
11,7,13,795987,35012.0,13.8,-8737.5378
11,7,13,808043,35005.0,13.8,-580.6238
11,7,13,819905,34816.0,13.8,-15933.2322
11,7,13,827947,34488.0,13.8,-40785.8742
11,7,13,841005,33941.0,13.8,-41890.0291
11,7,13,849261,33254.0,13.8,-83212.2093
11,7,13,861153,32826.0,13.9,-35990.5819
11,7,13,869160,32843.0,13.9,2123.1423
11,7,13,882010,33111.0,13.9,20856.0311
11,7,13,893974,33367.0,13.9,21397.5259
11,7,13,901976,33620.0,13.9,31617.0957
11,7,13,914089,33816.0,13.9,16180.9626
11,7,13,923037,34012.0,13.9,21904.3362
11,7,13,934946,34158.0,13.9,12259.6356
11,7,13,943222,34278.0,13.9,14499.7583
11,7,13,955166,34358.0,14.0,6697.9236
11,7,13,967988,34415.0,14.0,4445.4843
11,7,13,975988,34498.0,14.0,10375.0000
11,7,13,988002,34563.0,14.0,5410.3546
11,7,13,996193,34614.0,14.0,6226.3460
11,7,14,9023,34669.0,14.0,4286.8277
11,7,14,16915,34709.0,14.0,5068.4237
