Hour,Minute,Second,Microsecond,IR1,
11,41,36,987453,38625,36.987
11,41,36,999319,38618,36.999
11,41,37,12214,38610,37.012
11,41,37,20444,38604,37.020
11,41,37,32234,38609,37.032
11,41,37,42621,38604,37.043
11,41,37,56769,38593,37.057
11,41,37,61384,38659,37.061
11,41,37,73357,38764,37.073
11,41,37,85149,38841,37.085
11,41,37,94274,38943,37.094
11,41,37,106322,39073,37.106
11,41,37,114301,39217,37.114
11,41,37,126329,39311,37.126
11,41,37,135316,39497,37.135
11,41,37,147456,39540,37.147
11,41,37,159212,39600,37.159
11,41,37,167278,39623,37.167
11,41,37,180311,39637,37.180
11,41,37,188285,39663,37.188
11,41,37,200768,39689,37.201
11,41,37,208366,39698,37.208
11,41,37,221313,39713,37.221
11,41,37,233362,39731,37.233
11,41,37,241273,39743,37.241
11,41,37,253459,39758,37.253
11,41,37,262291,39762,37.262
11,41,37,274308,39757,37.274
11,41,37,282254,39756,37.282
11,41,37,294352,39761,37.294
11,41,37,307364,39765,37.307
11,41,37,315334,39765,37.315
11,41,37,327332,39775,37.327
11,41,37,335338,39785,37.335
11,41,37,348467,39786,37.348
11,41,37,356326,39791,37.356
11,41,37,368239,39786,37.368
11,41,37,380271,39775,37.380
11,41,37,389439,39774,37.389
11,41,37,401472,39773,37.401
11,41,37,409276,39770,37.409
11,41,37,421353,39772,37.421
11,41,37,430272,39774,37.430
11,41,37,442216,39772,37.442
11,41,37,454341,39774,37.454
11,41,37,462415,39771,37.462
11,41,37,475296,39755,37.475
11,41,37,483219,39742,37.483
11,41,37,495471,39737,37.495
11,41,37,503436,39645,37.503
11,41,37,515269,39608,37.515
11,41,37,528341,39445,37.528
11,41,37,536294,39250,37.536
11,41,37,548433,39054,37.548
11,41,37,556273,38864,37.556
11,41,37,569582,38718,37.570
11,41,37,577196,38593,37.577
11,41,37,589341,38545,37.589
11,41,37,601150,38582,37.601
11,41,37,610199,38612,37.610
11,41,37,622345,38609,37.622
11,41,37,630418,38601,37.630
11,41,37,642289,38612,37.642
11,41,37,651312,38615,37.651
11,41,37,663409,38606,37.663
11,41,37,675138,38608,37.675
11,41,37,683215,38605,37.683
11,41,37,696397,38602,37.696
11,41,37,704395,38606,37.704
11,41,37,716316,38612,37.716
11,41,37,724209,38610,37.724
11,41,37,737266,38608,37.737
11,41,37,749340,38608,37.749
11,41,37,757514,38594,37.758
11,41,37,769315,38596,37.769
11,41,37,778230,38592,37.778
