Hour,Minute,Second,Microsecond,IR1,4 blinks
17,56,11,565777,35477,11.6
17,56,11,577475,36383,11.6
17,56,11,585568,36537,11.6
17,56,11,598713,36505,11.6
17,56,11,606597,36131,11.6
17,56,11,618630,35070,11.6
17,56,11,626593,33927,11.6
17,56,11,639783,33274,11.6
17,56,11,651651,33553,11.7
17,56,11,659614,33761,11.7
17,56,11,671707,33837,11.7
17,56,11,680621,33848,11.7
17,56,11,692767,33840,11.7
17,56,11,700568,33851,11.7
17,56,11,712593,33901,11.7
17,56,11,725659,33964,11.7
17,56,11,733664,34020,11.7
17,56,11,745663,34054,11.7
17,56,11,753686,34087,11.8
17,56,11,766646,34133,11.8
17,56,11,774732,34168,11.8
17,56,11,786605,34204,11.8
17,56,11,798382,34234,11.8
17,56,11,807594,34239,11.8
17,56,11,819760,34251,11.8
17,56,11,827591,34261,11.8
17,56,11,839644,34260,11.8
17,56,11,848846,34270,11.8
17,56,11,860718,34285,11.9
17,56,11,872517,34296,11.9
17,56,11,880577,34307,11.9
17,56,11,893625,34326,11.9
17,56,11,901756,34344,11.9
17,56,11,913747,34365,11.9
17,56,11,921569,34392,11.9
17,56,11,934749,34396,11.9
17,56,11,946658,34396,11.9
17,56,11,954594,34403,12.0
17,56,11,966747,34399,12.0
17,56,11,975649,34404,12.0
17,56,11,987966,34421,12.0
17,56,11,995594,34427,12.0
17,56,12,7635,34431,12.0
17,56,12,20555,34433,12.0
17,56,12,28723,34408,12.0
17,56,12,40636,34396,12.0
17,56,12,48627,34396,12.0
17,56,12,61747,34396,12.1
17,56,12,73454,34386,12.1
17,56,12,81657,34368,12.1
17,56,12,93565,34354,12.1
17,56,12,102543,34350,12.1
17,56,12,114749,34462,12.1
17,56,12,122584,34705,12.1
17,56,12,134617,35065,12.1
17,56,12,147472,35405,12.1
17,56,12,155739,35677,12.2
17,56,12,167612,35895,12.2
17,56,12,175585,36057,12.2
17,56,12,188641,36191,12.2
17,56,12,196586,36288,12.2
17,56,12,208751,36384,12.2
17,56,12,220486,36454,12.2
17,56,12,228523,36496,12.2
17,56,12,241658,36497,12.2
17,56,12,250243,36479,12.3
17,56,12,261876,36424,12.3
17,56,12,269557,36351,12.3
17,56,12,282585,36274,12.3
17,56,12,294411,36199,12.3
17,56,12,302486,36227,12.3
17,56,12,315462,36575,12.3
17,56,12,323488,37162,12.3
17,56,12,335507,37869,12.3
17,56,12,343524,38567,12.3
17,56,12,355542,39091,12.4
17,56,12,368379,39493,12.4
17,56,12,376507,39700,12.4
17,56,12,388505,39828,12.4
17,56,12,396567,39901,12.4
17,56,12,409754,39925,12.4
17,56,12,417740,39901,12.4
17,56,12,429598,39818,12.4
17,56,12,441553,39769,12.4
17,56,12,450634,39732,12.5
17,56,12,462667,39705,12.5
17,56,12,470574,39694,12.5
17,56,12,482759,39721,12.5
17,56,12,491584,39778,12.5
17,56,12,503586,39774,12.5
17,56,12,515554,39697,12.5
17,56,12,523553,39650,12.5
17,56,12,536655,39610,12.5
17,56,12,544600,39699,12.5
17,56,12,556649,39883,12.6
17,56,12,564753,39913,12.6
17,56,12,577748,39873,12.6
17,56,12,589456,39829,12.6
17,56,12,597665,39848,12.6
17,56,12,609671,39851,12.6
17,56,12,618742,39874,12.6
17,56,12,630753,39865,12.6
17,56,12,638546,39823,12.6
17,56,12,650838,39787,12.7
17,56,12,663548,39772,12.7
17,56,12,671710,39738,12.7
17,56,12,683677,39698,12.7
17,56,12,691569,39688,12.7
17,56,12,704585,39668,12.7
17,56,12,712608,39655,12.7
17,56,12,724757,39648,12.7
17,56,12,736551,39625,12.7
17,56,12,745562,39617,12.7
17,56,12,757509,39610,12.8
17,56,12,765589,39622,12.8
17,56,12,777695,39615,12.8
17,56,12,786601,39603,12.8
17,56,12,798619,39568,12.8
17,56,12,810374,39571,12.8
17,56,12,818444,39538,12.8
17,56,12,831649,39539,12.8
17,56,12,839565,39532,12.8
17,56,12,851740,39520,12.9
17,56,12,859596,39499,12.9
17,56,12,872726,39495,12.9
17,56,12,884524,39503,12.9
17,56,12,892566,39496,12.9
17,56,12,904628,39411,12.9
17,56,12,913558,39315,12.9
17,56,12,925623,39227,12.9
17,56,12,933551,39138,12.9
17,56,12,945735,39176,12.9
17,56,12,958442,39214,13.0
17,56,12,966731,39213,13.0
