Y:D:M,H:M:S,Seconds,IR1
2015:1:3,10:54:1.746,1.746,38867.0
2015:1:3,10:54:1.75,1.75,38878.0
2015:1:3,10:54:1.758,1.758,38889.0
2015:1:3,10:54:1.771,1.771,38898.0
2015:1:3,10:54:1.779,1.779,38890.0
2015:1:3,10:54:1.791,1.791,38888.0
2015:1:3,10:54:1.803,1.803,38893.0
2015:1:3,10:54:1.812,1.8119999999999998,38900.0
2015:1:3,10:54:1.824,1.8239999999999998,38916.0
2015:1:3,10:54:1.832,1.8319999999999999,38928.0
2015:1:3,10:54:1.844,1.8439999999999999,38944.0
2015:1:3,10:54:1.853,1.853,38951.0
2015:1:3,10:54:1.865,1.865,38928.0
2015:1:3,10:54:1.877,1.877,38942.0
2015:1:3,10:54:1.885,1.885,38943.0
2015:1:3,10:54:1.898,1.898,38950.0
2015:1:3,10:54:1.906,1.906,38957.0
2015:1:3,10:54:1.918,1.918,38963.0
2015:1:3,10:54:1.926,1.926,38968.0
2015:1:3,10:54:1.939,1.939,38964.0
2015:1:3,10:54:1.951,1.951,38952.0
2015:1:3,10:54:1.959,1.959,38954.0
2015:1:3,10:54:1.971,1.971,38953.0
2015:1:3,10:54:1.98,1.98,38950.0
2015:1:3,10:54:1.992,1.992,38944.0
2015:1:3,10:54:2.0,2.0,38950.0
2015:1:3,10:54:2.025,2.025,38960.0
2015:1:3,10:54:2.03,2.03,38971.0
2015:1:3,10:54:2.034,2.034,38952.0
2015:1:3,10:54:2.045,2.045,38940.0
2015:1:3,10:54:2.053,2.053,38956.0
2015:1:3,10:54:2.066,2.066,38986.0
2015:1:3,10:54:2.074,2.074,39010.0
2015:1:3,10:54:2.086,2.086,39018.0
2015:1:3,10:54:2.098,2.098,39037.0
2015:1:3,10:54:2.106,2.106,39049.0
2015:1:3,10:54:2.119,2.1189999999999998,39063.0
2015:1:3,10:54:2.127,2.127,39042.0
2015:1:3,10:54:2.139,2.139,38947.0
2015:1:3,10:54:2.147,2.147,38715.0
2015:1:3,10:54:2.16,2.16,38137.0
2015:1:3,10:54:2.172,2.172,37148.0
2015:1:3,10:54:2.18,2.18,36308.0
2015:1:3,10:54:2.192,2.192,35303.0
2015:1:3,10:54:2.201,2.201,35655.0
