AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2378,-0.1764,0.9095,-0.2753,0.7044,0.3634,-3.5,1.3475,-9.345,0,0,0
-0.2711,-0.162,0.9331,-0.2753,0.7044,0.3634,-3.955,1.61,-9.4675,0,0,0
-0.2302,-0.1648,0.9315,-0.2746,0.7052,0.3668,-3.955,1.3125,-9.7825,0,0,0
-0.2356,-0.1612,0.9187,-0.2782,0.7042,0.365,-3.4213,1.1812,-9.695,0,0,0
-0.2766,-0.1622,0.9231,-0.2782,0.7042,0.365,-4.1388,1.5312,-9.065,0,0,0
-0.2219,-0.1688,0.9356,-0.275,0.7021,0.3654,-3.6663,0.7875,-9.4237,0,0,0
-0.2304,-0.1674,0.9232,-0.275,0.7021,0.3654,-3.3075,1.2163,-10.2112,0,0,0
-0.2564,-0.1693,0.9116,-0.2762,0.7044,0.3651,-3.3688,1.7937,-9.9312,0,0,0
-0.2272,-0.1825,0.9307,-0.2738,0.7038,0.366,-3.9375,1.3037,-9.8787,0,0,0
-0.2116,-0.1789,0.932,-0.2738,0.7038,0.366,-3.9638,1.1462,-9.065,-10.84049183701391,-11.977523392034149,-105.8887015153762
-0.2566,-0.1665,0.9139,-0.2754,0.7043,0.3632,-3.43,1.5837,-9.905,-10.326462286426372,-15.275050634302568,-105.05918581187646
-0.2359,-0.1764,0.9315,-0.2754,0.7043,0.3632,-4.095,1.5925,-9.5288,-10.72230528325434,-14.03551592994088,-105.6447059379333
-0.2389,-0.1692,0.9306,-0.2755,0.704,0.3658,-4.0775,1.89,-9.415,-10.305823522963573,-14.16822083738314,-105.47089710383831
-0.2586,-0.1579,0.9145,-0.2748,0.7028,0.3622,-3.5,0.875,-9.5375,-9.797444714836175,-15.505502041067222,-104.92426787863437
-0.2474,-0.1643,0.9221,-0.2748,0.7028,0.3622,-4.1038,0.8312,-9.695,-10.102234330302549,-14.829115496411493,-105.26031669179783
-0.233,-0.1694,0.9267,-0.2773,0.7024,0.3643,-3.6575,1.5575,-8.96,-10.358644544669097,-13.9372444482834,-105.75857063186331
-0.2446,-0.1653,0.9173,-0.2773,0.7024,0.3643,-3.7275,1.6712,-9.1,-10.215561919969565,-14.667256903982363,-105.44471785338531
-0.2297,-0.1723,0.9262,-0.2767,0.704,0.3619,-3.43,1.1987,-9.7125,-10.537456365040756,-13.748031259386622,-105.83194078560736
-0.2355,-0.1783,0.9304,-0.2767,0.7052,0.3622,-3.5875,1.4437,-9.6425,-10.847793421908817,-13.950218390620648,-105.7619145753232
-0.2537,-0.1711,0.9191,-0.275,0.7052,0.3622,-3.6837,1.3475,-9.9925,-10.546196077105847,-15.124042600215285,-105.17059123625916
-0.2494,-0.1669,0.9252,-0.2756,0.7041,0.3651,-3.045,1.435,-9.8087,-10.226554637156081,-14.870034213229985,-105.23068464800753
-0.2467,-0.1694,0.9276,-0.2756,0.7041,0.3651,-3.5,1.68,-9.4325,-10.349124619611606,-14.671634662847826,-105.32140980450316
-0.2474,-0.1663,0.9201,-0.2722,0.7025,0.3624,-3.3863,1.54,-9.7037,-10.245347644823376,-14.813483871259919,-105.09771824257562
-0.2333,-0.1645,0.9269,-0.2722,0.7025,0.3624,-3.9725,0.9887,-9.5462,-10.064111239251542,-13.960801236387711,-105.39518064693351
-0.2281,-0.1682,0.9288,-0.2738,0.7039,0.3614,-3.3425,0.9538,-9.1787,-10.264201554570962,-13.602890042489971,-105.64908394991778
-0.2438,-0.1677,0.9235,-0.2774,0.7042,0.3638,-3.2813,1.225,-9.9488,-10.292223054329408,-14.5153991233928,-105.49712727300458
-0.2359,-0.1679,0.924,-0.2774,0.7042,0.3638,-3.6312,1.3387,-9.5725,-10.29882845957484,-14.120108689271202,-105.66320547048643
-0.2418,-0.1688,0.9234,-0.2762,0.7045,0.3626,-3.5613,1.68,-9.4587,-10.359298169552396,-14.429104031802366,-105.48769243230045
-0.2479,-0.1728,0.9234,-0.2762,0.7045,0.3626,-4.0687,1.4875,-9.4762,-10.598861718858426,-14.765530152229513,-105.40510386493443
-0.2403,-0.1723,0.9294,-0.2753,0.7059,0.3614,-3.8763,1.0587,-9.9225,-10.502960031500967,-14.287235788206196,-105.51470352814337
