AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2825,-0.177,0.9127,-0.2831,0.7614,0.4108,-3.3075,1.4088,-10.08,0,0,0
-0.2855,-0.1759,0.9156,-0.2829,0.7607,0.4124,-3.5875,1.2687,-9.9575,0,0,0
-0.2845,-0.1775,0.911,-0.2829,0.7607,0.4124,-3.7188,1.26,-10.4038,0,0,0
-0.2841,-0.1765,0.9137,-0.2838,0.7592,0.4116,-2.8875,1.2862,-10.9287,0,0,0
-0.2854,-0.1762,0.9179,-0.2838,0.7592,0.4116,-3.3513,1.05,-9.9925,0,0,0
-0.2811,-0.1768,0.9146,-0.2854,0.7598,0.4103,-3.045,1.435,-9.8437,0,0,0
-0.286,-0.1772,0.9088,-0.2854,0.7593,0.4114,-3.0188,1.575,-10.3775,0,0,0
-0.2846,-0.1752,0.9155,-0.2854,0.7593,0.4114,-3.0713,1.085,-10.395,-10.807786184683392,-16.28376005026765,-103.33731755180419
-0.2813,-0.1783,0.9163,-0.283,0.7586,0.4128,-3.4213,1.0937,-10.0275,-11.010918321852627,-16.749931011802715,-103.37881235990776
-0.2843,-0.1783,0.9139,-0.283,0.7586,0.4128,-2.8175,1.0237,-10.255,-11.039545702728633,-16.96953505489169,-103.30511625445877
-0.2841,-0.1761,0.9162,-0.2821,0.7572,0.4156,-4.0513,1.0587,-9.52,-10.880343660356232,-16.93745243608651,-103.18710091654786
-0.2836,-0.1737,0.9188,-0.2811,0.7599,0.4121,-3.5963,1.2687,-10.01,-10.705894916855357,-16.874785221913395,-103.15774727603616
-0.2865,-0.1773,0.9148,-0.2811,0.7599,0.4121,-3.6225,1.3562,-9.5025,-10.968036992105489,-17.081725190233616,-103.12844566273246
-0.2852,-0.1765,0.9162,-0.2834,0.7592,0.4124,-3.4125,1.1812,-10.325,-10.904235037297376,-17.000086830728748,-103.2972000790675
-0.2849,-0.1767,0.9107,-0.2834,0.7592,0.4124,-3.2025,0.7175,-10.5437,-10.98028623209497,-17.069281349704482,-103.28426319186626
-0.2826,-0.1764,0.918,-0.2826,0.7598,0.4097,-3.5,0.7088,-10.2375,-10.877440489422353,-16.8307397235446,-103.3600823730169
-0.2852,-0.176,0.9119,-0.2831,0.7598,0.4117,-3.1238,1.19,-10.2725,-10.923862158128866,-17.061127934705723,-103.26258853787543
-0.2852,-0.1781,0.9159,-0.2831,0.7598,0.4117,-3.5788,1.2862,-10.1587,-11.00385073945347,-16.99909537288217,-103.3074151047474
-0.2833,-0.1786,0.9146,-0.2822,0.7582,0.4142,-3.2025,0.9363,-10.115,-11.049367583066742,-16.91346596948187,-103.25709757182948
AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2835,-0.1753,0.9137,-0.2814,0.7595,0.4128,-3.8238,1.4962,-9.7737,0,0,0
-0.2774,-0.168,0.8754,-0.284,0.7602,0.4078,-3.7975,1.085,-9.8787,0,0,0
-0.2854,-0.1749,0.9123,-0.284,0.7602,0.4078,-3.5613,1.3037,-9.52,0,0,0
