AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2757,-0.1978,0.9135,-0.1802,0.7331,0.3385,-3.045,1.19,-10.5262,0,0,0
-0.2777,-0.2004,0.9137,-0.1802,0.733,0.3381,-3.6925,1.2337,-10.7187,0,0,0
-0.2752,-0.1995,0.913,-0.1775,0.7336,0.3378,-3.92,1.4962,-10.2287,0,0,0
-0.2742,-0.1968,0.909,-0.1775,0.7336,0.3378,-3.5525,1.2512,-10.1937,0,0,0
-0.2725,-0.1979,0.9181,-0.1802,0.7334,0.3368,-3.0363,0.945,-10.4212,0,0,0
-0.2765,-0.2,0.9099,-0.1802,0.7334,0.3368,-3.2375,1.2775,-10.3687,0,0,0
-0.2741,-0.1973,0.9065,-0.1786,0.7314,0.3379,-3.5088,1.19,-10.3162,0,0,0
-0.2721,-0.1965,0.9157,-0.1785,0.733,0.3375,-3.4475,1.0675,-10.9375,0,0,0
-0.2712,-0.197,0.9108,-0.1785,0.733,0.3375,-3.7362,1.295,-10.3863,0,0,0
-0.2749,-0.1973,0.9147,-0.1771,0.7328,0.3371,-3.15,1.2862,-10.5787,-12.1432256618559,-15.485181536492453,-98.61598729719003
-0.2746,-0.197,0.9074,-0.1771,0.7328,0.3371,-2.5988,0.7788,-10.5262,-12.248792845435624,-16.422567262128013,-98.69791626360474
-0.2773,-0.1962,0.909,-0.1794,0.7364,0.3374,-3.6575,1.2512,-9.765,-12.180124789080184,-16.59442064611277,-98.77287493888144
-0.2749,-0.1972,0.9123,-0.1786,0.7324,0.3366,-2.8438,1.2862,-10.1412,-12.197184888177707,-16.42091119460067,-98.81837214929458
-0.2717,-0.1988,0.9106,-0.1786,0.7324,0.3366,-3.1325,1.9162,-11.0687,-12.31516030829124,-16.261332063653004,-98.88960300514407
-0.2708,-0.1972,0.913,-0.177,0.7326,0.337,-3.5088,1.5312,-10.8062,-12.188455725449831,-16.173006664909295,-98.76270181804587
